Report Date,Crime Category,count
2009-03-22,Agg Assault,11
2009-03-22,Auto Theft,21
2009-03-22,Burglary,24
2009-03-22,Homicide,1
2009-03-22,Larceny-From Vehicle,24
2009-03-22,Larceny-Non Vehicle,10
2009-03-22,Robbery,6
2009-03-23,Agg Assault,8
2009-03-23,Auto Theft,17
2009-03-23,Burglary,35
2009-03-23,Homicide,1
2009-03-23,Larceny-From Vehicle,21
2009-03-23,Larceny-Non Vehicle,29
2009-03-23,Robbery,8
2009-03-24,Agg Assault,12
2009-03-24,Auto Theft,11
2009-03-24,Burglary,24
2009-03-24,Larceny-From Vehicle,22
2009-03-24,Larceny-Non Vehicle,32
2009-03-24,Robbery,9
2009-03-25,Agg Assault,9
2009-03-25,Auto Theft,26
2009-03-25,Burglary,31
2009-03-25,Larceny-From Vehicle,26
2009-03-25,Larceny-Non Vehicle,27
2009-03-25,Robbery,9
2009-03-26,Agg Assault,6
2009-03-26,Auto Theft,13
2009-03-26,Burglary,27
2009-03-26,Larceny-From Vehicle,27
2009-03-26,Larceny-Non Vehicle,28
2009-03-26,Robbery,7
2009-03-27,Agg Assault,4
2009-03-27,Auto Theft,13
2009-03-27,Burglary,19
2009-03-27,Larceny-From Vehicle,27
2009-03-27,Larceny-Non Vehicle,23
2009-03-27,Robbery,2
2009-03-28,Agg Assault,1
2009-03-28,Auto Theft,9
2009-03-28,Burglary,20
2009-03-28,Larceny-From Vehicle,25
2009-03-28,Larceny-Non Vehicle,20
2009-03-28,Robbery,9
2009-03-29,Agg Assault,9
2009-03-29,Auto Theft,8
2009-03-29,Burglary,21
2009-03-29,Larceny-From Vehicle,31
2009-03-29,Larceny-Non Vehicle,19
2009-03-29,Robbery,9
2009-03-30,Agg Assault,7
2009-03-30,Auto Theft,14
2009-03-30,Burglary,26
2009-03-30,Larceny-From Vehicle,35
2009-03-30,Larceny-Non Vehicle,20
2009-03-30,Robbery,10
2009-03-31,Agg Assault,9
2009-03-31,Auto Theft,16
2009-03-31,Burglary,24
2009-03-31,Larceny-From Vehicle,29
2009-03-31,Larceny-Non Vehicle,25
2009-03-31,Robbery,2
2009-04-01,Agg Assault,5
2009-04-01,Auto Theft,17
2009-04-01,Burglary,18
2009-04-01,Larceny-From Vehicle,32
2009-04-01,Larceny-Non Vehicle,23
2009-04-01,Robbery,9
2009-04-02,Agg Assault,10
2009-04-02,Auto Theft,22
2009-04-02,Burglary,19
2009-04-02,Larceny-From Vehicle,37
2009-04-02,Larceny-Non Vehicle,25
2009-04-02,Robbery,3
2009-04-03,Agg Assault,10
2009-04-03,Auto Theft,19
2009-04-03,Burglary,23
2009-04-03,Larceny-From Vehicle,39
2009-04-03,Larceny-Non Vehicle,30
2009-04-03,Robbery,9
2009-04-04,Agg Assault,12
2009-04-04,Auto Theft,27
2009-04-04,Burglary,18
2009-04-04,Larceny-From Vehicle,30
2009-04-04,Larceny-Non Vehicle,24
2009-04-04,Robbery,8
2009-04-05,Agg Assault,4
